OSName,Cycle,ReleaseDate,Eol
alpine,3.21,2024-12-05,2026-11-01
alpine,3.20,2024-05-22,2026-04-01
alpine,3.19,2023-12-07,2025-11-01
alpine,3.18,2023-05-09,2025-05-09
alpine,3.17,2022-11-22,2024-11-22
alpine,3.16,2022-05-23,2024-05-23
alpine,3.15,2021-11-24,2023-11-01
alpine,3.14,2021-06-15,2023-05-01
alpine,3.13,2021-01-14,2022-11-01
alpine,3.12,2020-05-29,2022-05-01
alpine,3.11,2019-12-19,2021-11-01
alpine,3.10,2019-06-19,2021-05-01
alpine,3.9,2019-01-29,2020-11-01
alpine,3.8,2018-06-26,2020-05-01
alpine,3.7,2017-11-30,2019-11-01
amazon-linux,2023,2023-03-01,2029-06-30
amazon-linux,2,2018-06-26,2026-06-30
amazon-linux,2018.03,2018-04-25,2023-12-31
amazon-linux,2017.09,2017-11-03,2023-12-31
amazon-linux,2017.03,2017-04-07,2023-12-31
amazon-linux,2016.09,2016-11-16,2023-12-31
amazon-linux,2016.03,2016-03-22,2023-12-31
amazon-linux,2015.09,2015-09-22,2023-12-31
amazon-linux,2015.03,2015-03-24,2023-12-31
amazon-linux,2014.09,2014-09-23,2023-12-31
amazon-linux,2014.03,2014-03-27,2023-12-31
amazon-linux,2013.09,2013-09-30,2023-12-31
amazon-linux,2013.03,2013-03-27,2023-12-31
amazon-linux,2012.09,2012-10-11,2023-12-31
amazon-linux,2012.03,2012-03-28,2023-12-31
amazon-linux,2011.09,2011-09-26,2023-12-31
amazon-linux,2010.11,2010-12-01,2023-12-31
android,15,2024-09-03,False
android,14,2023-10-04,False
android,13,2022-08-15,False
android,12.1,2022-03-07,False
android,12,2021-10-04,False
android,11,2020-09-08,2024-02-05
android,10,2019-09-03,2023-03-06
android,9,2018-08-06,2022-01-01
android,8.1,2017-12-05,2021-01-10
android,8.0,2017-08-21,2021-01-01
android,7.1,2016-12-01,2019-10-01
android,7,2016-08-22,2019-10-01
android,6,2015-10-05,2018-08-01
android,5.1,2015-03-01,2018-03-01
android,5,2014-11-12,2018-03-01
android,4.4W,2014-03-31,2017-10-01
android,4.4,2013-10-31,2017-10-01
android,4.1 - 4.3,2012-07-09,True
android,4 - 4.0.4,2011-10-18,True
android,3 - 3.2,2011-02-22,True
android,2.3 - 2.3.7,2010-12-06,True
android,2.2,2010-05-20,True
android,2.0 - 2.1,2009-10-26,True
android,1.6,2009-09-15,True
android,1.5,2009-04-27,True
android,1.1,2009-02-09,True
android,1.0,2008-09-23,True
